STATE,COUNTY,EP_POV,EP_UNEMP,EP_PCI,EP_NOHSDP,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_MINRTY,EP_LIMENG,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ,V_PCT_65YRS
MD,Howard,5.4,3.8,52586,4.5,13,24.5,7.6,7.2,46.9,3.4,17.4,1,2,3.7,0.7,97.2
MA,Bristol,11.5,5.8,34226,15.1,16.3,20.9,14.2,10.1,18.1,4.2,8.9,1.3,1.4,10.7,2.8,78.6
MA,Hampshire,13.3,5.9,33605,5.6,16,15.1,10.8,7.1,16,1.1,10.3,1.1,1,8.2,14.2,86.7
MI,Calhoun,16.9,7,25652,8.9,16.9,23.2,15.8,11,22.1,1.1,11.3,6.1,1.2,8.7,3,80.5
MI,Eaton,10.7,5.3,31982,6.1,17.4,21.3,16,8.6,16.9,1.1,11.4,5.1,1.8,5.1,1.6,83
MI,Gladwin,18.2,7,24594,13.3,25.9,19.3,21.2,6.5,4,0.4,2.2,14.7,2,7.8,1,75.2
MI,Ingham,20.1,7.1,28366,7.3,12.7,20.1,13.2,8.9,30.1,1.7,17,2.4,1.8,8.9,6.5,87.4
MI,Kalamazoo,16.1,6,30555,6.4,14.2,21.9,13,8.8,22.3,0.8,16.4,3.3,1.4,7.9,3.2,89.7
MI,Keweenaw,12,6,31830,3.9,33.4,15.9,16,8.6,2.8,0.1,0.6,4.2,2.4,3.4,0.7,71
MI,Leelanau,6.2,5.3,38074,4.8,28.9,16.6,12.5,4.6,10,0.7,0.8,3.2,1,3.3,1.9,92
MI,Washtenaw,14.2,4.7,39486,4.8,12.9,19,9.1,5.9,29.7,1.5,16.2,3.6,1.4,8.4,5.5,94.4
MN,Beltrami,18.5,7.7,24781,8.7,15.2,25.2,13.5,12.2,27.8,0.2,9.3,10.8,2.4,7.7,4.8,90.3
MN,Benton,12.6,4,28566,7.6,13.5,25.1,12.8,10.4,9.3,0.5,22.3,5.6,2.9,7.4,2.2,61.6
MN,Carver,4,2.1,45637,3.6,10.9,27.3,6.7,6.4,10.8,0.5,9.4,2,1.1,3.7,0.9,85.5
MN,Cass,14.6,5.4,29053,8.3,24.8,21.2,15.5,8.9,17,0.1,1.7,9,2.7,5.4,1.3,77.9
MN,Clay,11.6,2.6,29631,5.1,12.9,24.1,9.9,7.8,12.2,0.6,19.4,3.2,1.4,6.8,6,73.5
MN,Hubbard,10.9,3.5,29312,7.1,24.5,21.1,15.3,7.3,7,0.4,3.6,10.4,3,4.2,0.9,75
MN,Lac qui Parle,8.5,2.3,31686,7.3,26.2,19.4,14.9,6.2,4.8,0.6,6.6,2.7,1.2,4.6,2.1,74.5
MN,Lyon,13.6,3.4,30531,8,15,25.2,9.8,9.6,15.6,1.9,13.5,3.1,2.6,5.9,5,90.7
MN,Mille Lacs,12.1,6,26679,10.2,17.8,24.3,15.4,11.7,10.9,0.2,7.9,9.7,2.5,6.8,2,97.9
MN,Mower,12.8,4.5,29116,13.1,18.3,25.1,12.5,9.1,20.3,5.2,9.1,2.3,3,7.6,1.8,88.2
MN,Pennington,9.8,3,30625,7.5,17.5,23.4,12.1,10.2,9.1,0.4,11.2,11.7,1.2,7.9,1.9,74.4
MN,Rice,10.7,3.7,29767,9.5,14.8,22,9.6,8.5,17.1,2.6,10.8,5,2,6.8,12.6,95.9
MN,Wright,4.5,3.2,34325,5.5,11.8,28.4,9.3,7.4,7.3,0.6,7.4,4.2,1.7,3.7,0.9,86.5
MS,Franklin,16.5,6.4,22769,15.7,18.7,24,16,9.9,36.8,0.1,0,32.9,1.4,3.9,1.3,67.4
MS,Jones,21.4,6.4,22836,16.7,16.1,25.5,16.9,12,35.2,1.1,1.8,21.9,2.6,5.9,2.7,73.8
MO,Barry,21,4.7,21960,17.8,19.9,22.7,18.1,7.8,13.9,3.1,0.9,17,4.7,4.7,0.9,67.8
MO,Bollinger,17,4.5,20949,20.6,19.1,22,23.2,6.2,3.6,0.2,0.6,16.8,2.4,4.9,1.8,57.2
MO,Douglas,21.4,6.2,19164,18.6,23.3,21.4,21.2,4.7,2.1,0.5,1,13.5,3.2,3.4,1,38
MO,Greene,17.9,4.4,26378,8.4,15.8,21,14.8,7.7,12.2,0.6,14.1,3.2,2.3,6.9,4,77.1
MO,Madison,15.6,4.1,22119,17.8,18.6,22.7,23.4,3.8,5.3,0.1,2.2,10.3,3.1,6.7,1.5,65
MO,Nodaway,23.3,3.9,22151,7.5,14.5,16.4,12.3,7,7.3,0.2,5.3,6.5,1.6,4,14.2,86.7
MO,Platte,6.9,3.7,39427,4.6,13.9,23.8,11.7,9,18.5,0.9,12.8,0.4,1.4,4.4,0.8,77.2
MO,Stone,12.6,6.7,27792,13.5,29.7,16.9,20.2,4,5,0.2,4.8,15.2,2,4.3,1.4,52.8
