STATE,COUNTY,EP_POV,EP_UNEMP,EP_PCI,EP_NOHSDP,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_MINRTY,EP_LIMENG,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ,V_PCT_65YRS
MO,Stoddard,16.2,5.8,22205,19.3,19.5,22.3,23.7,6.7,4.5,0.1,0.9,9.7,1.6,6.5,1.6,66.5
MO,Sullivan,17.6,3.1,21661,15.5,20.2,22,12.9,7.8,23,4.4,0.7,11.1,3.2,5.2,3.1,67.1
MO,Taney,17.2,5.8,22106,11.3,20.8,21.3,17.7,9.6,11,0.8,16.6,15.5,2.7,5.9,3.2,58.7
MT,Daniels,4.2,1.6,34799,4.7,26.9,20.8,15.6,5.7,6.5,0,3.6,8.1,0.2,3.6,1.4,58.6
MT,Golden Valley,14.5,3.6,27476,5.2,25,17.8,15.7,5.9,11,0.3,0,15.9,0.6,0.6,0,78.9
MT,Granite,8.2,4.4,29074,8.6,28.6,17.3,18.8,1.1,4.3,0,0,20.3,1.2,2.6,2.2,46.4
MT,McCone,7.7,0.3,27365,6.8,25.7,20.2,12.8,0,6.1,0.9,0,14,3.4,0,1.3,29
MT,Madison,10.6,3.3,34014,4.7,27.8,15.5,14.4,2.2,8.1,2.5,9,7.9,1.4,2.4,3.8,65.1
MT,Musselshell,19,6.2,22737,10.5,24.3,21,14.8,4.5,3.9,0.3,0.6,13.9,5.2,5.2,0.7,53.3
MT,Rosebud,18.7,7.9,23471,12.9,14.8,29.4,18.4,3.7,44.6,0.1,1.3,20,4.1,4.9,1,99.5
MT,Sanders,19.5,8.4,23822,10.7,28.9,17.9,19.8,2.9,9.8,0.2,0.3,15.5,1.2,2.6,2.1,57.1
MT,Silver Bow,19.1,5,26224,8.2,18.3,20.2,18.7,7.5,9.6,0.4,9.1,7.2,1.6,9.9,3.4,87.1
MT,Sweet Grass,7.9,0.8,29649,4.9,29.7,21,13.5,5,7,0,1.2,8.3,0.9,2.7,0.6,62.3
NE,Blaine,12.5,0,26767,3.7,25.6,21.9,11.7,2.3,0,1.3,0,11.1,3.2,4.6,0,29.6
NE,Boyd,10.6,1.5,27951,5.4,28.2,22.3,17.7,3.1,4.9,0.3,1.8,12.6,0.3,4.2,1.3,46.6
NE,Brown,15.2,0.6,28860,8,26.5,20,14.3,5.4,3.9,0.6,2,7.1,1.9,3.8,1.5,54.1
NE,Chase,8.4,2.5,29526,11.4,22.4,21.6,12,5.5,10.7,5.1,1.3,11.2,0.7,3.4,2,45.6
NE,Deuel,10.2,4.8,27397,10.2,24.6,20.4,17.2,5.5,11.1,1.3,1.4,6.7,0.1,3.8,1,61
NE,Douglas,12.7,4.2,33734,10,12.3,25.8,10.6,9.6,30.2,3.8,18.1,1.1,2,7.2,2.3,88.9
NE,Dundy,10.3,1.6,25790,18.1,19.9,26.9,10.6,8.2,16.5,2,0.7,8.7,0,3.5,2.5,63.7
NE,Franklin,13.8,1.6,27757,7.3,26.5,19,17,5.4,4.2,0.4,1.3,4,1.1,1.8,2.6,50.3
NE,Frontier,10.3,3.8,28583,4.6,24.9,19.9,17.9,4.9,3.6,0.1,1.7,13.3,0.1,3.8,4.6,38.3
NE,Garden,9.1,1.4,33572,6.8,26,20.2,16.9,1.7,5.6,0,1.1,4.5,0.5,2.6,2.4,69.5
NE,Garfield,7.5,0.2,27109,3.9,28.3,20.5,15.6,6.9,3.4,0,1.1,11.5,0.8,1.8,2.5,43.3
NE,Gosper,5.1,2.9,34731,4.3,25.2,19.3,13,2.5,4.2,0.2,0.7,8.6,0,3.4,1.8,52.8
NE,Harlan,11.2,1.4,27421,9.9,25,22.5,16.3,3.9,6.1,0.4,0.5,22.9,0.1,1.8,1.6,62.4
NE,Hitchcock,12.7,4.1,26917,7.3,24.8,22.6,18.5,6.7,1.4,0.3,1.6,17.4,1.2,3.2,1.4,58
NE,Johnson,9.4,2,23652,13.8,18.2,18.8,16.4,9.5,19.4,2.2,4,6.2,2.1,7.1,20.7,74.5
NE,Keith,11.7,3.7,28410,8.8,26.5,19.9,13.4,8.1,9.9,0.4,1.4,23.1,1.4,6,1,51.2
NE,Kimball,9.5,7.3,23870,11.5,24.4,22.6,17.5,10.1,13.6,0.7,1.8,9.1,1.1,6.6,1.6,58.5
NE,Lancaster,13.1,3.4,30929,6.5,13,23,10.7,7.9,18.4,2.1,18.3,1.7,2.1,5.7,4.3,92.5
NE,Logan,7.9,0,24813,7.4,19.4,29.2,9.9,0.6,3.5,1.7,1.4,12.9,2.6,0,0,40.2
NE,Loup,8.2,0.7,28299,2.2,28.9,15,17.3,2.2,2.1,0,0,19.4,0,0.7,0,39.1
NE,McPherson,17,0,26384,10.9,22,22.9,10.8,1,5.3,0,0,8.1,4.9,1,0.2,29.4
NE,Madison,15.8,3,27528,9.9,15.3,25.1,11.1,8.5,20,4.3,9.2,2.7,2.4,6.1,3.1,76.7
NE,Platte,8.3,3.8,29847,11.3,16.9,26,9.7,6.4,21,4.9,6.8,4.6,2.5,4.3,1.4,65.9
NE,Rock,7.4,0.4,34441,5.1,27.2,16.7,13.2,2.9,2.6,0.5,0.8,9,0.3,1.3,4.4,46.7
NE,Saline,13.5,3.1,22943,15.7,14.2,25.5,11.4,9.1,30.1,7.6,3.6,5.4,3.7,1.6,6.7,80.3
NE,Thayer,8.4,1.1,28793,7.3,25.1,22.2,15.2,5.1,4.7,0.3,1.4,1.8,0.6,4.4,3,75.4
NE,Wayne,14.2,1.9,27192,4.2,15.1,19.6,10,4.9,9.8,0.7,7.9,2.3,1.4,2.9,13.5,56.8
NV,Douglas,9.3,5.2,36390,6.3,26.4,17.4,15.3,6.3,19,1.7,4.3,5.4,2.5,2.5,0.6,69.4
NV,Elko,11.9,4.5,33091,14.8,10.5,27.5,11.8,9.8,33.1,3.1,3.4,19.9,3.4,3.4,1.6,72.5
NV,White Pine,10.9,3.8,26412,14.1,16.3,20.6,16.1,7.1,27.8,0.9,0.6,14.8,2.8,2.6,15.3,76.2
NV,Carson City,13.7,6.2,29767,12.7,19.6,20.6,21.9,9.7,32.5,3.2,14.1,10.9,4.4,5.8,3.9,90.8
NH,Carroll,9.6,3.6,36033,6.2,26.2,16.3,15.6,6.1,4.1,0.1,3.4,6.1,1.7,5.2,1.2,82
NH,Hillsborough,8.1,4.3,39478,8.2,14.8,21,11.7,7.9,15.1,2,15,1.9,1.9,5.8,2,80.3
